LinkID,PositionX (m),PositionY (m),PositionZ (m),HighLevelCmd
A219BS010380,10.203179246366927,1093.350470685927,-0.4625493941351464,0
A219BS010380,10.446372125569324,1093.787342700303,-0.4622914020125326,0
A219BS010380,10.689185103090995,1094.2244260320674,-0.4621534134604185,0
A219BS010380,10.931376886305063,1094.6618538944392,-0.4620801707206278,0
A219BS010380,11.173514396600474,1095.0993118063495,-0.4620425540883709,0
A219BS010380,11.415624876217048,1095.536784680097,-0.4620226798594694,0
A219BS010380,11.65772189364092,1095.974265004263,-0.4620116416468668,0
A219BS010380,11.900687515080396,1096.4112635245906,-0.4620061380315806,0
A219BS010380,12.144663228767334,1096.847698916285,-0.4620033945371476,0
A219BS010380,12.387966427113804,1097.28450957741,-0.4620020277874195,0
A219BS010380,12.630808299873868,1097.7215768775295,-0.4620013470602157,0
A219BS010380,12.87342032491299,1098.1587718058013,-0.4620010079823285,0
A219BS010380,13.115917857600785,1098.5960302495623,-0.4620008390505416,0
A219BS010380,13.35797722709145,1099.0335313121188,-0.462287027386889,0
A219BS010380,13.600501090377236,1099.4707750882758,-0.4625235628590558,0
A219BS010380,13.843256174980958,1099.9078905467493,-0.462735370428147,0
A219BS010380,14.085831671385789,1100.345105729,-0.4628491833970313,0
A219BS010380,14.328317711788168,1100.7823705411947,-0.4629141937741604,0
A219BS010380,14.570759197300829,1101.2196600613588,-0.4629548998307112,0
A219BS010380,14.812567795264806,1101.6572998230274,-0.4631572791059111,0
A219BS010380,15.054061008465284,1102.0951136509825,-0.4634401736650521,0
A219BS010380,15.295758737966182,1102.5328146629306,-0.4636182008333378,0
A219BS010380,15.537558295449852,1102.9704594483155,-0.4637440027392133,0
A219BS010380,15.779408558637767,1103.4080762215742,-0.4638437958283183,0
A219BS010380,16.021485042588274,1103.8455678436894,-0.4640814870014625,0
A219BS010380,16.263674156225495,1104.2829970829675,-0.4643878530705641,0
A219BS010380,16.506641768474672,1104.7199944381566,-0.4646135867028957,0
A219BS010380,16.74999679343558,1105.1567761884476,-0.4647991640675995,0
A219BS010380,16.99286981378995,1105.5938261706117,-0.4648944240817804,0
A219BS010380,17.235502677151995,1106.031009531558,-0.4649447049844181,0
A219BS010380,17.478015911694087,1106.4682592660286,-0.4649725857994765,0
A219BS010380,17.720824060456433,1106.9053453018362,-0.4649866055261639,0
A219BS010380,17.96377903837318,1107.3423497396338,-0.4649937222799504,0
A219BS010380,18.20577132393336,1107.779887969762,-0.4651695221245446,0
A219BS010380,18.447283729403804,1108.2176912252376,-0.4654293278407167,0
A219BS010380,18.68905902725312,1108.655349330002,-0.4657271263571026,0
A219BS010380,18.930965214821363,1109.092935088574,-0.4660438455893421,0
A219BS010380,19.17293657842312,1109.5304848032672,-0.4663699874943518,0
A219BS010380,19.416468157983232,1109.9671681142024,-0.4666060118846341,0
A219BS010380,19.660775584681613,1110.4034178646025,-0.4667971554828629,0
A219BS010380,19.899460630955343,1110.8427687134315,-0.4673266065716633,0
A219BS010380,20.13973320380444,1111.2812534819236,-0.4677721814613844,0
A219BS010380,20.38079513875186,1111.7193048264724,-0.4681759865378105,0
A219BS010380,20.62224985325399,1112.1571398115432,-0.468558991371677,0
A219BS010380,20.86687951034019,1112.5932089405017,-0.4687726344032527,0
A219BS010380,21.112605009600813,1113.028661540233,-0.4688839904493704,0
A219BS010380,21.357020673474107,1113.4648506567348,-0.4690786666136348,0
A219BS010380,21.600783282361878,1113.9014050459402,-0.4693148311546384,0
A219BS010380,21.844220502844905,1114.3381409543854,-0.4695716543455828,0
A219BS010380,22.083637776815305,1114.7770934996051,-0.4697504549390349,0
A219BS010380,22.325995898212515,1115.2144291400482,-0.4700307958274088,0
A219BS010380,22.56981429341148,1115.6509523131674,-0.4703616924208566,0
A219BS010380,22.813203985610656,1116.0877146557366,-0.4706991010436653,0
A219BS010380,23.05638013611029,1116.5245959254028,-0.4710397519296984,0
A219BS010380,23.29944994114268,1116.9615363706994,-0.4713820171291876,0
A219BS010380,23.54042292501036,1117.399636783559,-0.4716040490034422,0
A219BS010380,23.78034980427732,1117.8383109978774,-0.4717662131860795,0
A219BS010380,24.021434551719004,1118.2763499621003,-0.4718680633126776,0
A219BS010380,24.263138854379868,1118.7140473399002,-0.4720565903479923,0
A219BS010380,24.50515144921238,1119.1515743108007,-0.4722882735041228,0
A219BS010380,24.747317496350025,1119.5890163544116,-0.4725414439229024,0
A219BS010380,24.989055271430768,1120.0266950250068,-0.4730204062447327,0
A219BS010380,25.232155670032714,1120.4636184551955,-0.4733555950768645,0
A219BS010380,25.47593363058948,1120.9001642562982,-0.4736191979384111,0
A219BS010380,25.71917114631524,1121.3370114022025,-0.4739056573205464,0
A219BS010380,25.962139438750302,1121.7740083360163,-0.4742034966610649,0
A219BS010380,26.204973652303572,1122.2110797862535,-0.4745070019628465,0
A219BS010380,26.446761721310995,1122.6487308961396,-0.4746959497718225,0
A219BS010380,26.68802839987318,1123.0866696731568,-0.4748278596045611,0
A219BS010380,26.927645186335308,1123.5255132354152,-0.4751792994169229,0
A219BS010380,27.16815585105834,1123.963867617174,-0.4754162540069716,0
A219BS010380,27.409111190622557,1124.4019777539572,-0.4755962073089512,0
A219BS010380,27.650287834262464,1124.8399661140631,-0.4757477803500377,0
A219BS010380,27.894118135853237,1125.2764826712755,-0.4760293929205278,0
A219BS010380,28.139266332152765,1125.7122604149583,-0.476375747980073,0
A219BS010380,28.38149447559952,1126.1496680646192,-0.4766487691371645,0
A219BS010380,28.62468359665909,1126.5865422124696,-0.47682294804445,0
A219BS010380,28.86733806600622,1127.023713512072,-0.4770745627026526,0
A219BS010380,29.109726214553525,1127.4610325046242,-0.4773647296011705,0
A219BS010380,29.35198173800141,1127.898424966442,-0.4776740901586417,0
A219BS010380,29.594711007784834,1128.3355547818162,-0.4778356493950447,0
A219BS010380,29.83751028067759,1128.772645617189,-0.4781743467106119,0
A219BS010380,30.080143068072136,1129.2098288767174,-0.4785322142666197,0
A219BS010380,30.322692955480477,1129.647058126799,-0.4788996259291003,0
A219BS010380,30.565201566893094,1130.0843102678862,-0.4792717892297764,0
A219BS010380,30.809197081693323,1130.5207344896132,-0.4795675041350846,0
A219BS010380,31.05088577642802,1130.9584404908833,-0.479744392805829,0
A219BS010380,31.29142346559159,1131.3967800923708,-0.4798621199525122,0
A219BS010380,31.532576192485987,1131.834781594314,-0.4800780060054633,0
A219BS010380,31.774034935617674,1132.2726144451492,-0.4803427603608085,0
A219BS010380,32.01564598397577,1132.7103632518204,-0.4806318437303654,0
A219BS010380,32.26082658262255,1133.1461228685637,-0.4808063803757109,0
A219BS010380,32.50651159584552,1133.5815983156417,-0.4809026603138441,0
A219BS010380,32.748743314489374,1134.019003802094,-0.4813873294171964,0
A219BS010380,32.989723069802864,1134.4571004655638,-0.4816537606894585,0
A219BS010380,33.230078821748364,1134.8955398429125,-0.481811548163731,0
A219BS010380,33.471706032967354,1135.3332798150354,-0.4818987508579497,0
A219BS010380,33.71329399511502,1135.7710413274456,-0.4815599326957031,0
A219BS010380,33.95209713343023,1136.21032825012,-0.4813135631167838,0
A219BS010380,34.194684624165866,1136.6475366709326,-0.4809878190603464,0
A219BS010380,34.43914931233734,1137.083698203888,-0.4806225694965113,0
A219BS010380,34.68465600764897,1137.5192738876046,-0.4800874882646105,0
A219BS010380,34.93205826082086,1137.9537754253806,-0.4793534611142293,0
A219BS010380,35.18006534765108,1138.3879325303997,-0.4790484307289857,0
A219BS010380,35.42837325716821,1138.8219177533065,-0.4789569436791522,0
A219BS010380,35.67683084639958,1139.255817310962,-0.4789717524965233,0
A219BS010380,35.92309699845868,1139.690964258309,-0.4786303362566224,0
A219BS010380,36.165453752373935,1140.128300236539,-0.4779625211736367,0
A219BS010380,36.41819898955178,1140.5597161350336,-0.4775531191508074,0
A219BS010380,36.67174777947457,1140.9906602174608,-0.4770960090436223,0
A219BS010380,36.92569609103,1141.421368963416,-0.4766151598219479,0
A219BS010380,37.17440489365791,1141.8551241651976,-0.4760181482521861,0
A219BS010380,37.41979982755938,1142.2907624976456,-0.4752633520119053,0
A219BS010380,37.66431326492514,1142.726778245421,-0.4854342241169214,0
A219BS010380,37.90855143825432,1143.1628636860485,-0.4987459919040193,0
A219BS010813,38.004958513367455,1143.33499780111,-0.5040004882812497,3
A219BS010813,38.288087762841926,1143.7471100034925,-0.5051669956976783,3
A219BS010813,38.57121701231638,1144.1592222058748,-0.5063335031141069,3
A219BS010813,38.85434626179083,1144.5713344082571,-0.5075000105305354,3
A219BS010813,39.13747551126527,1144.9834466106397,-0.5086665179469638,3
A219BS010813,39.42060476073971,1145.3955588130218,-0.5098330253633923,3
A219BS010813,39.70375034595515,1145.8076593939531,-0.5111325518470825,3
A219BS010813,39.9869040913558,1146.2197541529729,-0.5124985878321383,3
A219BS010813,40.31892509268373,1146.593601721407,-0.5127227595786129,3
A219BS010813,40.673675465886085,1146.9459538856815,-0.5123691442290982,3
A219BS010813,41.03921233208675,1147.2871025179288,-0.5117287037529002,3
A219BS010813,41.409962186179406,1147.6225782006152,-0.5109463889812441,3
A219BS010813,41.80883930249608,1147.924067699548,-0.509884262734178,3
A219BS010813,42.22054616342916,1148.2077859136984,-0.5086860891484025,3
A219BS010813,42.63829278873344,1148.4825333580566,-0.5074216266035879,3
A219BS010813,43.058942625001066,1148.7528147545763,-0.5061247290645441,3
A219BS010813,43.48100433710008,1149.0208859908216,-0.5048119160072962,3
A219BS010813,43.903756855042936,1149.2878664479642,-0.5034912809519451,3
A219BS010813,44.35618408408863,1149.500725047757,-0.5025863432413922,3
A219BS010813,44.8207935357825,1149.6854886176534,-0.5018930641669116,3
A219BS010813,45.29073196968014,1149.856244354814,-0.5013043600134035,3
A219BS010813,45.76311690620757,1150.0201107114606,-0.5007668645502987,3
A219BS010813,46.258515307187295,1150.0877888916514,-0.5004698244761547,3
A219BS010813,46.75816483058198,1150.1065058336749,-0.5002970449860213,3
A219BS010813,47.25814120717361,1150.101646801813,-0.5001845297519947,3
A219BS010813,47.75788274150095,1150.0855722301458,-0.500100780923131,3
A219BS010813,48.25646290654306,1150.0481121590517,-0.5039168129189573,3
A219BS010813,48.75416008253546,1150.000515810799,-0.5095832617369879,3
A219BS010813,49.2513640124243,1149.9481188854356,-0.5161265266388055,3
A219BS010813,49.74831736579117,1149.8934476841162,-0.5230852854151514,3
A219BS010813,50.24518820571386,1149.8380484503118,-0.5301770643462438,3
A219BS010398,50.44295853149379,1149.8159978012554,-0.5329998168945309,0
A219BS010398,50.88394849232565,1149.5803543111151,-0.5329998168945309,0
A219BS010398,51.32493845315752,1149.3447108209748,-0.5329998168945309,0
A219BS010398,51.76592151520665,1149.10905442071,-0.5329998168945309,0
A219BS010398,52.20690457725577,1148.8733980204452,-0.5329998168945309,0
A219BS010398,52.64788763930489,1148.6377416201803,-0.5329998168945309,0
A219BS010398,53.08887070135401,1148.4020852199155,-0.5329998168945309,0
A219BS010398,53.52988053514788,1148.1664789243775,-0.5329998168945309,0
A219BS010398,53.97090375267939,1147.9308976823438,-0.5329998168945309,0
A219BS010398,54.41193366154597,1147.6953289673472,-0.5329998168945309,0
A219BS010398,54.852966915946624,1147.4597665159404,-0.5329998168945309,0
A219BS010398,55.29254779501867,1147.2215056308207,-0.533633359493422,0
A219BS010398,55.73139601168818,1146.9818989956195,-0.5345836718379632,0
A219BS010398,56.16987629055264,1146.7416203743278,-0.5356923634315898,0
